body,emotion
"For cucumber tests, we want to test the happy-path of our code. These tests are better left to testing using RSpec. You should remove all the cucumber tests that look for errors and use rspec to test 
those cases.",1.0
"But looking at the diff, it seems like a lot of lines changed only in indentation, i.e. you are wrapping some areas of code in try-blocks differently. It would just be easier to see what those changes are if 
they were not mixed up with unnecessary whitesp",1.0
Return types should be generic and not tied to the implementation. is the generic set trait. Alternatively you can rename the redis set or scala set via imports.,1.0
"As mentioned above, I don't think sets up any expectations and so I think this test doesn't actually test anything.",1.0
"I'd rather repeat what's in the function, once for precision errors, once for performance
    ",1.0
"To be consistent with the rest of this app, please use a JSON-encoded response, e.g., 
",0.0
"It would be nice, as you mentioned, to actually run a test job (one that we already have, for instance).

You are right, you will need to change this line:",1.0
"We do rely on the sub element of the  element for inbound channel adapter and we proxy the class if we have the  sub element to the outbound channel adapter/gateway.

The",1.0
"When kinetic settings is overriden scroll directly.

Note that using the base class call introduces some flickering, I'll look into that, it probably happens when the viewport height is even.",1.0
"I think andreas is taking a hard-line about uses of, even though I think this is pretty harmless.  You have a getter, so it's probably somewhat annoying to change, but I have discharged my duty in 
warning you about it.",0.0
"This should probably be , then you can use to get the key name and the string value to against.",1.0
"we cannot authenticate this session until we've checked that the user is either using the same browser that they used to start the verification process, or that they know the password.

One implementation tactic would be to have this WSAPI return a 401 ",1.0
Extra space between index name and .,1.0
I will remove it.,1.0
i assume the dot here is a typo?,1.0
I don't remember removing the camelcase method... o_0,1.0
"Good point.  This function isn't that much of a tall pole (using the lookup table is the more common code path), but that's a good change to make nonetheless.  I'll do that.",1.0
What about just doing a  and if that fails then complain to the user?,1.0
"now works if more than one package matches.
added options just like Yum's .",1.0
"i passed all the files with the autoindent of my editor (webstorm) probably missed the html one.
i'll check",1.0
"Each  must contain a complete sentence. Otherwise, there's no guarantee that combining translated versions of these fragments will make sense in the translation language.",1.0
"Oh, nice, you can have a timeout on a test? Did not know that :-)",1.0
Could you please start each title with a capital letter and end with a full stop and empty roxygen line?,0.0
Thats not working. Better add the license to the license directory in the overlay.,0.0
"Named non-optional positional arguments, again.",1.0
Don't catch -- just throw through.,0.0
"Again, do these represent functionality that should be added?",0.0
"This  suggests that a valid keyword parameter is , yet this is not listed as a  in the documentation.  Is this a case of out-of-date dox?",0.0
This one not so easy.  The function is needed.  Should it maybe be in another place?  In maybe?,1.0
"This is not good, maybe using ifs rather than a switch here would let me  to skip optimisation, rather than do that.",0.0
"I'm going to remove this one.....maybe it's more of a project specific function.
",1.0
"The change in indentation is a consequence of the actual change in the way the master lock is handled: operations that in the original implementation were performed after obtaining the only lock 
used are now safely performed before obtaining the lock for ",1.0
can't this method be moved to ?,1.0
"I agree with Brad; either the *complete* experience, or an unadorned page-refreshing experience. I think a partially-working automatic filter would be confusing.",1.0
"The pool is only used, if a is present; could you move the call to?
I will merge your pull requests as soon as possible, thanks again for your contributions!",1.0
"As is, every mousemove event on the will create a new instance. Instead, you could move this out of the event handler so it only happens once and reuse the same for each resize.",1.0
"Because of the ending slash :
",1.0
"You could do this in this case:
A simple way to see what this is doing:
OR, now that I think about i",1.0
"James, I just now saw your recent posts, checking that the response is success might be good enough actually.

Whatever solution you come up with, I think it needs to fail if the code being tested is commented out.",1.0
"I can rename it. Though the correct name is upper-case and IIRC there is something in the phpBB coding guidelines about using upper-cases with regards to names.
I can be mistaken though _(didn't check)_. So if it doesn't it can indeed be lower-cased.
Al",0.0
"for me it's just fine, minor magic numbers",1.0
These long lines are a bit unpleasant when reading the file in plain text: would you mind justifying paragraphs as above?,1.0
Originally it was. I switched to in analogy with for Arrays.,1.0
"format expects 2 arguments, but only 1 is given.",1.0
This can be abstracted.,1.0
"Are you sure it should be written to ? I never saw any html files written there. Should we just remove this script from source control, and you can keep a copy of it in case you need it later?",0.0
"You don't need this added here, as it's not used anywhere else in this class.",1.0
That's a lot of dead kittens! But I agree in principal. ,1.0
"No worries!

Also, if you want to get your function added, you have to add tests. I guarantee that Puppet Labs will ask about them.",1.0
returns the 'Simple Name' of a spell. E.G Confringo's Simple Name is Fireball (at least I think this is what evilmidget is trying to achieve?),1.0
"I was thinking of this too, but there's also the issue of operator chaining: . I'm using the state machine to detect operators and dispatch the parsing operations, and  to parse the argument to the caret. 
It seems l",1.0
"[ is a primitive value itself] so I think this could just be ""Returns *false* for primitive types.""",1.0
"If you're going to change the text, it should be 'method selection.' Not the larges of deals... also,  is better here, i totally agree.",1.0
"Fair enough, how about ""Returns *false* for primitive types, including .""  That way we clarify but don't imply that  is not a primitive.",1.0
@branan can you be sure to update the provider so that privileges are case insensitive,1.0
"I would very much prefer to have more utility functions than this complex iterator. For example we already have utility function for getting window tabs:

I think",1.0
"First off, I think errors should always have an explanatory message (and not just a descriptive name, although that's important, too).  The message here should include some details about what HTTP 
interactions were not used.

Secondly, I think it's unne",0.0
Dam!! I was sleeapy... sorry let me fix that,0.0
"Grammar Nazi: ""Returns a list of regions at the specified location. If regions are found, an array of region names are returned, otherwise, an empty array is returned.""",0.0
"I didn't think about the use of , I made it match the example in the README. You're right that the local test made perfect sense to have a short timeout.",1.0
Why not static as well?,1.0
"While I agree in principle, one should never have using directives or declarations at file scope in header files. However, using declarations in a definition of a class can only be used to import names 
from a base class.",0.0
This shouldn't be here.,0.0
"I don't think I'm familiar with what MPI is.  The Julia build process uses  to compile arpack-ng, (they skip the build process and build only a subset of what they need, but I figured I'd make things as 
general as possible) so that's what I did ",1.0
"I remember that too. I must have rebased it in when I wasn't paying attention. Anyway, it's fixed now. I deleting code!",0.0
Done making it service agnostic.,1.0
There should be a test with .,1.0
I love that we can pull that condition out now.,1.0
Can you please rewrite these examples to the new syntax rather than removing them?,0.0
There are tabs in the comments. Please replace them with spaces.,1.0
"""Explicit is better than implicit.""",1.0
"this can be DRYer, like doing a for on this methods",1.0
Can you remove this? I assume it was for debugging during development?,1.0
But it needs a test if we want to keep it and use it.,1.0
"I see some inconsistency in the naming for setup and teardown.
become and unbecome are calls to perform something while and are callbacks
setup and teardown should perhaps be named and to indicate that they",0.0
You're right. It's a fourth value. I have hideously embarrassed myself by getting it backwards.,0.0
"The creator of the can decide whether it is recursive or not, I think.",1.0
Isn't this whole think block commented out?,1.0
"That's a good question - the integrating point """" is written synchronously.  Here's the sig of the mailbox queue:
",1.0
could you move this to ?,1.0
" is considered a ""language construct"" not a control structure. So I think we're ok there to treat it as a function, as that is how it is being used in this form.",1.0
"While having a convention about the way to provide exception in the context to allow a special handling is fine, I'm concerned with this implementation: it will log only the exception and drop the log 
message (which could be better to understand the issue",1.0
It used to be next to the Zlib finding. It's earlier because I started earlier and I'd rather use that one. I'll change the order.,1.0
">And override the equality operators like you did in GitObject?

You can directly use the , but you'll have to define what uniquely identifies a Note from another one.",1.0
"The reason the null check is here is so that it will make if the doc is null. Not sure what the desired behavior would be in this situation. If I remove the null check but  still contains the id.

In a sense the ",1.0
"This is a little goofy, but I'd put 73 here instead of 72 since that's definitely outside the boundary. I can't tell if it's possible for the timings to be such that there's an edge case where it ends up being 
inside the boundary and shows up in the ""from",1.0
"Do you really need an iterator here ? I think plain arrays map / reduce would work just fine here as you iterate over each tab anyway.
Also it won't require non-standard features making it easier for newcomers. ",1.0
"Hmm... what about this 
",0.0
"The   method is implemented on the connection object like this:
",1.0
Cant this just be: ,1.0
Not sure if we explicitly allow preference names with whitespaces. At least we shouldn't accept those when Firefox doesn't support it. Might be good to check that.,0.0
"yeah makes sense, let me test that",1.0
They run as mstest without a UI.  This  should go away with the configuration api. ,0.0
"Is it possible to make the frequency, time, and retention of backups more configurable? Perhaps make the cron time settings configurable and incorporate logrotate to make retention configurable.",1.0
"It looks like this isn't actually working.  I think this may be at the root of some rule cache bugs.  What I think is happening is that when it iterates through cards via wql, that it doesn't seem to be 
finding the locally cached card that wa",1.0
"Massive -1 to that. It is harder to read and uses considerably more resources.

There was an interesting talk in an IRC channel ages ago (I'll see if
I can find it later), where it was described as being almost like the
following:",1.0
"ya figured that out. But if we are not using it, then we should not have it in there. So, please make those changes as well, either way is fine with me :) -- using it or removing it. ",1.0
Those 2 lines above seems OK to me.,1.0
"I wouldn't store the instances in. I would create new class, that would provide them. Or could provide them.",1.0
Is there any reason to not make this private?,0.0
Looks like @keithtom created that using .  Seems to do a fake http action and compare the URL with what is expected.  Something like an active resource version of,1.0
Are multiple plots with the same range supported here too?,0.0
"Oops, I missed the exception for POM files (_The  element is always on one line._) to the generic rule :  Always use a 120-column line width._

The drawback is that the eclipse formatter can not be used because of this exception",0.0
"How are these tests intended to be run? In a metro app? Then you could grab these from a text box input. From a unit text framework? Then perhaps could grab these from the environment.,",1.0
Comments and more tests added.,1.0
"Agreed, removing it. I just put it in order to mimic the same approach already found at lines 593 or 552",1.0
"All this moves to the
 Application can override this method to provide their own Auth finish task,
",1.0
"I've added some inline comments around this, as its not very straightforward to read (see merge commit).",1.0
Have you reported the bug?,1.0
"Why do we need a lib/ directory?  Is that a requirement of the packager?  If yes, then why the requirement?",1.0
That sounds good. I'll remove this function.,1.0
You should add to documentation that this additional library is required. We have one list of Python libraries used by nodewatcher.,1.0
Because that would be obvious and make total sense.  :-) I guess I just needed a second pair of eyes.  I was staring at the code last night thinking that something was not quite right....,1.0
Use  instead. This is premature optimization,1.0
Checking for null after you have already used it?,1.0
"If we had used a hash, this would look like

",1.0
Don't need if you do what I said above.,0.0
"This could use some elaboration of the expected XML and HTTP entity, maybe? You can infer it from the test, but it's not very clear if you're not already intimately familiar with refreshbooks' request-
concocting magic.",1.0
PS: VoxelBorder DOES allow and internally disables the use of for teleportation,0.0
"as it turns out,  was already there and not used, I noticed the same thing. I chose not to take it out yet. Agree that cleaning up dead code is something we should do. Do we have an easy way to detect 
dead code?",0.0
"if we don't want to block the merge on this (technically not a regression), let's open an issue to track?
",1.0
"methods ending in ? should be booleans.  methods ending in ! have two common meanings:
1. (ruby) calling object will be altered.  (eg, )
2. (rails) raise error on failure (eg.)

this isn't either of those.

I'm thinking about f",1.0
"Always use shell paths instead of hardcoded windows paths because Windows likes to virtualize these directories (and virtualization IS used for program files in the cloud). In this case, use ",1.0
"The  check aborts this case successfully, and none of the others, and none of the regression cases, too.",0.0
"All of wence accessor were written that way, I assumed that it had to do with property decorator being runtime whereas cython code is compile time ?",1.0
"We're going to have to support polygons crossing the IDL sooner or later.  I guess the question is if shapefiles allow it?  And if so, is it important enough that we should do it now?",0.0
"Arch is significantly different from any of the above, not based on anything else (nor do I know of any derivatives...). Anyways, should say something like ""ArchLinux"" or ""Arch"", and probably should fall 
back to .

Can we fix",1.0
"again, what's this for?",0.0
"There is no need to store the buzz client here IMO, especially as it will be wrong as soon as someone injects the buzz browser directly. If the browser is not injected explicitly, you should simply create 
the Browser relying on the defaults set in Buzz IM",0.0
"Doing this can be tricky. If you just define a function  in the devtools package, that function will be called when you run  from the R console, and it will be called when you call  from devtools. But this 
version of",1.0
Why did you choose this over ?,1.0
never mind...I see they are all 'pass'...are these place holders for functionality that should have been added?,0.0
"Hmm... after adding the  wrapper we're only left with a string. Giving users a DOM tree to manipulate seems much more friendly than forcing them to deal with HTML source.

",1.0
add comment for null param,1.0
Please add the hit counter changes to your description. Thanx.,1.0
"ic, this was a spec that was broken so I was just trying to get it passing before I submitted the PR.  I think @garylin is aware of the  inconsistency.",0.0
"Instead of using 'h', perhaps we should use constants? Imho that would make the code more legible.",1.0
It's a little harsh :),0.0
"Yeah I agree that  isn't the best. But I'm worried that  might be confusing if we have an  class. How about ? On the downside,  is a little too general, but on the upside it would mirror the  attribute of 
the image cla",0.0
Might want to clarify which headers override which.,1.0
lgtm. Good find!,1.0
When is this flag 'true'?,1.0
This was not supposed to be here 0.o,1.0
"Thank you for the review! I added unit tests for  and also fixed a typo.
",1.0
"Actually why not create a generic slowloris like transport that buffers and randomly delays on sending bytes to test that sort of thing.

Then just run your test suite over with a different config?",1.0
small nit-pick but  and  :D whitespace,1.0
@lloyd - *I* have grammar problems.  I'll update the comment.,0.0
"I'm not everyone, then; I only found out about it a month ago and still have to remind myself every so often. I'll keep it in, if for nothing else than to keep my dumb brain happy. :P",0.0
"That breaks  returns something which already includes a domain.  It's not perfect, but it's easily fixed if users set to a full HTTP path.",1.0
I'm working on it.  I suspect we may need to keep it around for a while so that migrations will run.  I've had similar with the Cardtype model.,1.0
"I prefer the neater approach of them instead putting the spell's .jar file inside the folder, as they're truly writing plugins for this plugin.  It doesn't really make sense(or is as efficient) for them to create 
a bukkit plugin that's simply adding onto ",1.0
"You don't actually use , or  here, I don't think you should bother declaring them.",0.0
We shouldn't pollute the global scope here,0.0
Replace L80-83 with,1.0
"There's a good reason for this. If you'll look at the Zone class, you'll see I've already rewritten it to handle coordinates in the order they were selected rather than highest-first. (This doesn't break 
backwards-compatibility at all, btw... sorted coord",0.0
"So..... is it alright to keep it as  then?  As far as I can tell, the  environment variable  set to whatever  was set to, with  acting as an override, but for some reason it doesn't.  That being said, I c",0.0
is this x-ms-copy action or just ms,1.0
just leftover from when calls were synchronous.,1.0
"Same as above, this will only work for plugins and not cues. If this is intended, ignore this comment",1.0
"another tiny space just before the ""VIDEO""",1.0
Maybe we should simply use the URI module that comes with Elixir?,1.0
I think we could probably use a stronger selector here; this will match any other link that happens to use the organisation name.,1.0
"Note that if is true, then has no implact.",1.0
"Totally agree, I'll change that around and include that as part of the pull request that takes Phil's feedback into account.  Thanks!",1.0
"In order for to find this class, it *must* be called  (see the static initializer and for or",0.0
"when with for added clarity and to disambiguate from temporary ""for shake in shakes""",1.0
"You do not consistently check  for null when creating tags; either do so, or make it nullable.",0.0
"Given that the sets this unconditionally, shouldn't this be an error state here, not ""silently return a bogus value""?",0.0
Needs a comment indicating what the patch is for---this allows future maintainers to make informed decisions about whether to pull the patch or leave it in.,1.0
Probably want to make sure this is sanitized,1.0
It was from my original visitor implementation...I'm removing since it's not affecting anymore.,1.0
It would also probably be better to use set,1.0
this got moved to the async task. ,1.0
"On refresh flow, we need to send client secret also. ",1.0
"This is fine, I mostly had this in as a placeholder",1.0
"The thinking here was that there could be tons of replies for a post that the user doesn't necessarily care about, bogging down the original response of posts.
It's also more complicated on the backend side as there could be a recent reply to a post that ",0.0
"I think it will be better to have this sort of documentation in the wiki, what do you think?",1.0
"I would call this  both to be a little clearer what it does with sharedfiles, and in case we need to add a  command later somewhy.

Then it would be clear enough to omit the descriptive comment above too.

Hmm, you might",1.0
The same remark from about randomly rearranging symbols applies to this encoder/decoder pair.,1.0
Well just a minor thing you might wanna rename this to (and same on the method above),1.0
Note sure if we want to document that usage. In the future we may want to add arguments. Maybe.,1.0
"I've found it useful. It lets you type this:
Instead of this:
But maybe I'm using them in a different way than originally intended -- I often use them ",1.0
I think you should have a separate. perhaps extends,1.0
This was resolved in.,1.0
This should be encoded in the Open state and not in the breaker itself.,1.0
Added inputs for both and tested.,1.0
"No this is the sourcepage. And I was wrong, it belongs in subdomains/prepage. should be in - so what you did was write and it is in the right place. Let's keep it just in case.",0.0
"I just meant  as an empty object (since on the next line the  is set). I don't see it used in the tests, though (sorry if I am missing something!).",0.0
When changing tables that possibly are already in the database (in the case of updating an installation) it is good practise to create a migration for that change. ;),1.0
"As I mentioned in bugzilla I don't think  is a good property name here, it's used for many different things in different contexts, most commonly as a an event target. Also commonly to refer to a target 
element. In this case it has totally differen",1.0
I don't think we need this executor (see below).,0.0
"I should try this in a browser too. I bet I want to filter out ""native code"" or something like that.",1.0
"I think this is a mistake, both need to be there, I think.  the second maybe in a pack",0.0
can you make this protected?  also s/They/The in the comment,1.0
"If the row is created from a volatile transform (from a random number), we need not transform, or it'll create a new random number on every row of the resulting dataset. So,  is valid for both types of 
rows.",1.0
 is just a compat wrapper around  these days...,1.0
"hmmm shouldn't this be implemented in, and then post could just do a no-op?",1.0
"Yeah, but I only need to look things up that one way, so why expose the
actual HashMap?

Seamless improvements!",1.0
"There's a lot of whitespace-only noise in this pull. Can you leave the whitespace alone?

If you really care about it, send a separate pull with the formatting fixups on their own, after all of this is merged or rejected for reals.",0.0
Will this work in a non-executable part of the script? Is it needed as it is already in? ,0.0
Change to instead of clearing out button bar,1.0
This line should probably be moved up by the other attribute definitions for .,1.0
"Agreed - although the user doesn't _have_ to use. For sure we should check to see if is defined - otherwise this will blowup. Apart from that - what if we offer a localization feature - where ""Home"", 
and action",1.0
One option is to not match against each specific block but simply do this:,1.0
"This line does nothing, I used it to have a breakpoint for debugging. You can delete it.",0.0
Inline the type conversion (do not use 2 lines),1.0
"No. We need a seperator that is not / else it is _impossible_ to match.

Ex. 

The busting string is not required, so how do you know that 'bustingstring' is not part",0.0
"Can we change this to:

And have have another function


If you would ",1.0
"Should that change take place in SoOSiM or SoOSiM-ui? (I understand it's the latter iff they talk about different things)

Would it make more sense to use the 'small step' by default? Would it help us avoid this 'issue', so that running means running an",0.0
"Can you add a link to the documentation? 

You can write multine comments with:",1.0
why is this needed?,0.0
"Good job actually cleaning up the discussion here! We also need to clean up choices and votes. However, we could probably take care of all of these with attributes on the models.",1.0
"No, still uses this argument. You can check  for details.",0.0
"Add some spacing around the arg here, please.",1.0
Is there a specific exception that happens in this instance? I would really like a less generic rescue here than simply from .,1.0
certainly seems fine to me,1.0
what's this about?,0.0
why the onscroll event? can't we use the timeout as per devices that don't support native position fixed?,0.0
"I know I suggested to allow this on methods, but I'm not so sure anymore. 

Basically, we always exclude them unless you have set a annotation. So, adding , and then does not seem to make sense to me. So, I'd sa",0.0
"Right... the hit counter wasn't working, so I fixed it. The database connection change was done to eliminate repeated code.",1.0
It has now been moved to,1.0
"This is the only thing I don't like in the whole script.  Do we need that?  If you take it out and ""outdent"" the stuff below it, then the CR is okay AFAIC.",0.0
no need to extend the other class,1.0
We never use the Readline History so i removed popping empty lines,1.0
Maybe this should be also?,0.0
Limitation?  I would call that a show-stopper.,0.0
"OK, can you (or someone) give me a hint as to how to rebase properly?  The pull request was branched off of the tag ""v1.1.1"".",0.0
"From what I can infer from the controller, the user (admin) is supposed to set this in a form, so should be fine for deprecated.",1.0
space between ' is missing.,1.0
"Unless this is used in more than one terminus implementation, we can squash it down into the actual hiera endpoint.  We might as well do that - the ""code reuse through inheritance"" approach is not 
awesome.

Assuming that there isn't some codified metapr",1.0
"We should use PEP 8 for imports here - 
    Imports should be grouped in the following order:
        standard library imports
        related third party imports
        local application/library specif",1.0
@jtdaugherty Please see notes from @pames,1.0
 should read,1.0
"There will need to be more arguments passed here eventually. I use source  gem in my manifests. 
Is there a puppet equivalent  of  or  or some way to take an arbitrary number of arguments to a define?",1.0
"> Makes only sense if the list is sorted at some time? I don't think that's needed for coordinate descent.

yes but that's a reasonable choice to keep the set ordered so when you
loop over features on only just positively in memory. In other words
it avoi",0.0
I think that a missing dependency should be logged as a  (),1.0
"I guess it really doesn't matter, but they'll keep bouncing around if we don't agree on a convention.",1.0
"schema is probably different since I did a lot of database stuff on other branches
and I was trying to figure out how to do everything",0.0
Also missing whitespace here and on line 147,1.0
"I have completely forgotten about , it's better.",1.0
Is this not what  would do?,0.0
Looks like there is a trailing comma here. ,1.0
I actually meant a getter not a delegated method :),1.0
"Let's put in some brief comments about what the extra arguments newclass, action, and populateonly are for.",1.0
"your indentation is all wonky here though, 2 spaces",0.0
"Style: no space after the colon. Also, whole method name should be on one line.",1.0
"> The is also needed in the basic use case (Simple, one alpha fit with ElasticNet)
> Why? I don't understand. All we need is to learn the coefficients.

same feeling here.

if you do:",1.0
Will check all constructor calls for null like is being done for id parameter.,1.0
"This will always be true, and doesn't look right",0.0
"True, I don't want to add any test cases that fail randomly.",1.0
We depend on memcache for CSRF now. But we might be able to fix that with a local settings change.,1.0
"Sorry, I didn't notice this was included, wasn't supposed to be part of the commit given the will modify to have it service specific and will add a brief how-to on how to use this. :D",0.0
"I went to to test something out:

# we never discard sources


The default value of zero (true) in the config does work (if I tested this correctly):",1.0
Nit: previously view -> previously viewed,1.0
b var is used here,1.0
call to 'cleanup' now on its own line,1.0
"I think maybe the whole file can be removed, or at least that's the goal.",1.0
"Ok I guess I'll just do it after merging, rest is good thanks!",1.0
Needs to be an,1.0
"Yeah, I thought this implementation would avoid some pathological case where  followed by a direct update to  or  would give unexpected results... but the more I think about it, it's no extra 
protection at all, and just results i",1.0
how do we deal with something like pig using several of these in one job? the class conf values will clash.,0.0
"This was causing link submissions not work, as the URL of the Reddit API and the input was the same variable name.",1.0
"Backported this to Froyo, was missing this function.",1.0
The correct locator is '.,1.0
Whoops. Fixed now.,0.0
"I might be wrong, but paranoid: will  work when the is just being created in the same line?

Or should it be ?",0.0
Calculation for block size for layout in Firefox 12 doesn't reduce size based on margin-right value.,1.0
