pull_request_id,body,Agrees
11557,if were doing this now using a timestamp do we need the property at all ,1
11557,was this change also applied to replies  only ask for replies after the timestamp from the last received,1
16575,all taken care of,0
16499,ive found it useful it lets you type this  instead of this  but maybe im using them in a different way than originally intended  i often use them ,0
14550,is set to true  if we use the turns to false  however if we read the stream piece by piece with read it retains the value,1
14864,ah yeah i missed that one  typo fixed ,0
16456,seems to me that we have at least in  places    can we refactor to a method     thanks,0
15489,this title should have the same grade of importance as,0
15489,livedox must have his own subtitle,1
15489,probably should have his own index or something,0
16562,minor thing  but since you added the new attribute to the end of both the  definition and this methods   id propose to sort the parameters like this  ,1
16565,yeah  there is a local set class for the redis set command  so if i want it  to have the right return type  i need immutable,0
14510,is this valuable output  i can see how it would be useful if there are problems  but its noisy for normal usage,1
14510,i was just following the riak way  but yeah im not the biggest fan of it either   i can remove it,0
13703,bah  yes  you are right this is why one shouldnt write code in githubs editor    in fact  the patch isnt even consistent in that it documents three values for the log kwarg  yet only implements only one i was originally thinking of allowing the user t,0
16649,the curly brace in our scala code is usually at the end of the previous line maybe the code could be formatted better    i had to read the documentation of to be sure,1
16729,thanks for describing the usecase kennethkoontz    the current way the meteor auth system is set up is that once you auth against an oauth provider your token is stored on the user document  as   for example    my underst,0
16565,just return a here ,1
16711,you copied this pattern around  times any chance you could extract it into a method ,1
16758,we should cap it with,1
16743,this should probably be   then you can use to get the key name and the string value to against,1
15394, is considered a language construct not a control structure so i think were ok there to treat it as a function  as that is how it is being used in this form,1
15394,in places where there is no clear standard that weve adopted  we should leave the code alone  when it comes down to it  someone else is maintaining that piece of code the component lead  and its   better to let them dictate the smaller aspects of ,1
16597,switching to  is good thing in this case but this    and this  ,0
16715,either way  i removed the unloading bit not having it doesnt seem to affect any of our existing tests,1
16499,oh ok  that makes sense,0
16729,ah  now i understand yes  your point makes sense lets keep it in for now    thanks for taking the time to help me understand the concern,0
16638,if you do not have vmware installed  install vmware player free,1
16813,can you add a bit about why someone would use this rather than the one that actually takes class ,1
16743, means the timestamp field in of the event  i think this may be better written as though perhaps as long as this special case is documented as such its fine ,1
16592,probably should be a global constant of a classlevel method on ,1
16824,this should be enclosed in if since you are allowing null and it will override the default name,1
11557,i understand that they work fine  was suggesting that both be the same for consistency guess we cant take out of api call anyways since web uses that now,0
11557,gotcha  just checking,0
16592,ah  is this the place where the question about one from once class overwriting an from another class came from     thats right youll get kitchen goes into the kitchen here  this way     instead maybe you want something m,1
13774,i didnt really have any use for adding the payload to the hooks arguments  but thats a good idea    i dont want to handle only nonmatched message types in this  thoughi want to allow custom handling of  any  message type,0
11557,i think that feeds and replies update should be single api call and return them both based on timestamp,1
11557,the thinking here was that there could be tons of replies for a post that the user doesnt necessarily care about  bogging down the original response of posts  its also more complicated on the backend side as there could be a recent reply to a post that ,1
16123,this was the only instance that is not preformatting and validating the orderid i added a test case,1
16123,ouch  my bad on this one i reverted this back to the original implementation,0
16597,you dont have to change it  but in is good practice to use this   it will prevent this kind of bugs  it will save you a lot of time debugging ,0
16123,agreed  i moved it to be part of the options hash tests are added accordingly,0
16123,i think its opinionated to embed the in the authorization  especially when the is already part of the request do you know why it was embedded here in the first place ,1
16123,i added a documentation snippet from the official xml spec,1
16806,sorry   just figured out that for some reason pip got turned off in my ide now i can see what you mean  ill fix it right away   ,0
15394,ive removed it however notice how its under control structures ,0
16889,supernit space after   i generally do a space after  as well for anonymous functions  but i also try not to use anonymous functions id actually probably rewrite this as,1
16597,i understand the bug youre referring to and what creates the difference between the comparison and the assignment     id prefer to have the variable on the left side of the comparaison and the value being compared to on the right side as i think this mak,0
16889,not sure this should throw that means nothing would get returned to the callback  right  i feel like with callbackstyle functions  theres an implied contract with the consumer that the callback   should always be called  and that errors will be sent to t,1
16938,im not sure because they are very specific on what we are going to test ive added more tests to test warnings and errors,1
16887,hmm does this add extra args you dont want or something to     seems like you could pass it directly and avoid the extra anon functions for each ,1
16945,good catch i think i rather dumb it down a bit to only accept str and let the py version be a  to much magic will only hurt,0
16831,update the comment  are handled,0
8268,well yes  and so was  before that  but in fact in some cases it seemed direct declaration of dependency was required in the past   some cases a compile scope dependency was depending on junit   version x and that was overriding ,0
16953,it is  at the moment  because i was restricting everything to r to get  something working  im going back over the and to extend  them for rm  which is what we have already done with the gomatrix library    you are correct about the,1
8268,i think if we are going to spend the effort to update the deps  we should spend the effort to minimize there declarations as well,1
8415,i like adapter and we already have with quick search,0
16968,the padding should be set to to ensure that it causes no regressions,1
14575,do you want to try moving the unicode character to the end so its the last thing before the newline ,1
16945,i agree about magic ,0
14637,youll get used to it ,0
16968,we may want to call when setting the shadow layer as well,1
14575,wow   that seemed to trigger it,0
8415,this is a  so yes is the right name the spca is the adapter  delegating to a source    the is different its an active component not polled that extends so it has the,0
16968,what happens when the user sets only one of shadow color or shadow offset   should we have some default values for these  if both are needed  we should only call when both are present,1
16968,similar to the comment above  what happens when you call when  for some of these fields ,0
17022,please also pull to remove the now redundant check,1
16761,i think this method should be in the test class  not in the provider class,1
10934,are we still using  somewhere ,1
16806,the is also needed in the basic use case simple  one alpha fit with elasticnet  it cant be stored in then,1
16973,if youre deregistering a range of codes  it calls once per code  unlike during registration  where it updates the dict once per code  but calls just once for the range,1
16973,good catch this is probably spammy and raceprone,0
16973,yes  maybe it should be changed to have a  function,0
16806,    because the prototype told me so the prototype is gold standard      also for the other tests    what do you mean by the prototype ,1
15995,i think it makes more sense to access the controller from the dialog code  context menus do it that way,1
17003,empty lines could be removed nitpick  lol p,1
17003,usually  var statements with multiple lines are indented once more to the right imo better readability  but your call  that is an opinion  and a nitpick ,1
16983,maybe you could copy over the docstring examples from numpy here  so they get tested,1
17084,achtung  the default encoding is localedependent  not always utf this wont do what you expect on windows  in cron jobs  and so on    this is one thing where i think they really screwed up with python   but its been discussed before and apparently i,1
13489,what about making this a  or  event so that we know the video is playing ,1
17084,but   as a global variable set as     so do we want to force everything as utf   and use  everywhere  ,1
16781,i think this line is too long,1
17084,we could use  i dont think theres any reason to save html in anything other than utf  though,1
16806, makes only sense if the list is sorted at some time  i dont think thats needed for coordinate descent    yes but thats a reasonable choice to keep the set ordered so when you  loop over features on only just positively in memory in other words  it avoi,1
16806, the is also needed in the basic use case simple  one alpha fit with elasticnet   why  i dont understand all we need is to learn the coefficients    same feeling here    if you do,1
16726,oops heh leftover fragment from debugging ill fix that right up,0
13489,i already test for autoplay and loop working  so this just tests that they are set when they would be read  this is fine,1
17212,do you need to specify  here or is that the default ,1
11821,ill fix it when merging,0
16511,i should specify i believe defining numpy arrays as a  function argument  leads to fast indexing  but defining arrays as variables does not,1
6728,ok  maybe just a comment to the effect that the arbitrary selection of transitions is intended to be representative but not exhaustive  might help a maintainer if a refactoring later breaks something   either covered or not covered by the test,0
6682,i agree with this concept  but i think we need a more descriptive fact name here,0
17234,instead of using h  perhaps we should use constants  imho that would make the code more legible,1
16575,i should probably add measures to if we want them to be useful right now its very difficult to index into the measures array to find the values for a specific part,1
17229,i think  is better indeed   is good too,0
16429,i think we should use of a sekizai tag here to provide the css resources so that the style is available in any cms page,1
6711,ideally this would go in a  since its needed for every test,0
17239,yes  i forgot to remove manageorgs,0
6779,ginko this code looks like it could be cleaned up quite a lot  just declare all these variables first as blank strings  then in your if blocks just set the variables that is are different under that   condition    you could also change the ,1
6771,also  the intent was to leave these boxes and configs publicly available  and it seems the community standard is to have both puppet and chef available,1
17245,paddy  could you please leave the old tests in there as well  that way we ensure there are no bc issues or at least become aware were there any,1
17245,sorry for repeating myself  could you please leave the old tests in there as well  that way we ensure there are no bc issues or at least become aware were there any,1
17234,because we have only three options here and because i used the standard values of many shell commands  i think its not a good idea generally speaking you are right but in this case i think is not so   necessary,1
17234,its only a quick way to obtain the same result here,1
17247,circles dont have vertices   but actually is this even used anywhere  it looks like  just calls ,1
17249,please remove the null check should be consistent regardless of prefix,1
17240,i remember that too i must have rebased it in when i wasnt paying attention anyway  its fixed now i deleting code ,0
17234,yes  thats true,0
17240,im always open for review i wouldnt have opened a pr if i hadnt put on my asbestos underpants    i was rewriting the summary  and now im not sure if this does the right thing currently  it updates the workdir to match whats in the index  but maybe t,0
17247,there are just  points here  so the square isnt being closed if you add  as the last element in the path  it will autoclose the shape and make the starting ending vertex look better than if you just   repeated the first coordinate,1
17241,i would rather say the optimal   subtree   ,1
17248,can you add a link to the documentation      you can write multine comments with,1
17234,the code is not so clear here  you are right i reused the output as a new variable i will change this,1
17240,good catch done ,0
17228,i think andreas is taking a hardline about uses of  even though i think this is pretty harmless  you have a getter  so its probably somewhat annoying to change  but i have discharged my duty in   warning you about it,1
6857,yeah  i also thought about that in my opinion we shouldnt override and  say somebody customized these files in  and upgrades to   all his changes are lost i think its a bad idea you said yourself  that the se works as a s,0
17254,kinda hacky  i know ,0
17247,yeah  this is used in the dataensure on l to make sure the inner shape is totally enclosed by the outer shape there are some weird corner cases literally d,0
17255,this could become an attribute of the app thats make it more yuilike,1
17251,i dont mind  i am okay with that    while i am at it  i must warn you  though  i am currently making  huge  changes on the tree structure see  i dont know how we should resolve our future conflicts   ,0
16575,im responsible for this  sorry,0
6725,i believe we can actually change the  to be  to cut down on the typing and not need to define the  its one of the things i really like about faraday,1
6725,we are using the  middleware  so well get an exception if things dont work,1
17249,the reason the null check is here is so that it will make if the doc is null not sure what the desired behavior would be in this situation if i remove the null check but  still contains the id    in a sense the ,1
6725,you should just be able to pass the  hash directly in as the second argument to  without needing to convert it to a string were you having problems with that ,1
17255,might be useful to pass the  option so you get a instance back from this,1
17237,i am thinking of having a single histogram function without     does input validation literally in  lines and then  it calls i think we should put the code in one function  it made sense to separate ,1
17245,fixed in source  sorry  the comment can be deleted,0
17262,wrapped everything into a that seems to be the easier and more readable approach,1
7165,maybe the comment above is worded incorrectly  this method works fine  if you are using only a few segments in a  since you can calculate the number of samples by adding up all the times if there are going to be multiple  then you have to d,0
7043,wow  overlooked while copying from one file to another  fixed,0
17228,lol  that was actually more a todo item the code i have now is not your error handling code ,1
6878,indeed  i think the extra is a typo  sort of redundant  ill fix this in the docs,1
17237,sounds right i will move the text output code in the caller in     we can figure out later how exactly to output as text,0
6711,did that  thanks for the suggestion ,0
17268,the  shouldnt be hard coded in here since gutsy is open source and presumably someone one day besides may want to use it  we probably do this elsewhere  if so  we should maybe just fix all of   them in another pull request  otherwise ,1
17265,i remember trying to remove the if and it errored out somewhere,1
17268,you may want to use the parser thing in utils here,1
17265,schema is probably different since i did a lot of database stuff on other branches  and i was trying to figure out how to do everything,1
6947,how about adding something like,1
17283,yeah youre right  this shouldnt be top level  it fixes the test but the test is flawed since will never be a fact    ive reverted this commit,0
17286,could you do a quick check and see if there is actually a requirement for explicitly an   id love to move this logic to have it consume a generic  and the,1
17286,it should actually be possible with the compromise of losing access to the  stuff ,1
17285,maybe would make more sense than    add to the top of file      if becomes unless,1
17287,yeah  that is good feedback ,0
17286,are you sure that we need a wrapped hydrator  after all   should allow you to access the fields directly also for writes  also here  could you do a quick check and see if  and,1
7024,as long as youre doing this  might as well make it something like    this would make it backwards ,1
6878,Cool i dont think i even would have thought of this  but i like the idea,0
17290,well just a minor thing you might wanna rename this to and same on the method above,1
17286,that is mainly because  is an orm specific method,1
17286,since we should ideally move to  and eventually extend the features here with more specific optimized logic  thats why i suggested to use ,1
7241,how about nonce range vs full work ,1
17296,can you rename  to something less verbose  i think  is fine  as it is  that is finally concerned with what to do with the contents,1
17300,it would be nice to have specs for these changes  and not just in the rspec matchers ,1
17300,yeah  agreed but where besides rspec matcher specs ,0
17302,ah yes  totally right,0
17302,worth sending this to crew or techteam ,1
17303,dont we need to drop this ,1
18785,it would help performance in the server itself,1
18785,true  and i cant see any problems as such with it  im just saying ,0
18785,returns the simple name of a spell eg confringos simple name is fireball at least i think this is what evilmidget is trying to achieve ,1
18785,ah right this change is not needed then,0
18785,exactly my point its much neater and does exactly the same,0
18785,i might change what does it  and how the spell name is stored though  but yeah  it is  and tbh you should have noticed  especially given this is code that is tested to work  and something like that   would break it,0
18785,i prefer the neater approach of them instead putting the spells jar file inside the folder  as theyre truly writing plugins for this plugin  it doesnt really make senseor is as efficient for them to create   a bukkit plugin thats simply adding onto ,1
18785,if were going to have plugins for this plugin  they might as well be able to access everything,1
18785,i do this a lot  and am doing it  and i have had no problems so far,1
18785,if a user wants to create just a spell they use this method if they want to do more then they should be able to make a plugin that accesses everything,1
18798,the behavior that i initially had in mind was that the reverse mapping would just hold the first token to generate the id but it doesnt really matter whether the reverse mapping holds the first token or   most recent token that hashes to the id  in either,1
18803,even though i think weve come a long way from c  ill move the declaration to the top   also  good call on using ,0
18785,they actually can access everything  as spells are passed an instance of ,1
18785,they can access everything  but not in a practical way  itd have to be in the constructor,1
18785,okay  im going to change partly to for the sake of readability and obviousness  and im going to modify and bring into use the spell annotation for description and alternate namesalthough class   names will still be used if an alternate name is,0
18785,oops  that wasnt intended to be a tag oh well,0
18811,no problem  ill update them,0
18827,c   allows you to specify the underlying type so you should be able to make it unsigned that way,1
18827,it would also probably be better to use set,1
14540,completely optional  but you could reduce branching logic we need to test with this,1
14540,if you want to log anything  we should probably use a log instance,1
18798,hmm  and what if two words in the document map to the same id ,1
18860,yeah  but i only need to look things up that one way  so why expose the  actual hashmap     seamless improvements ,0
18868,i was wondering if i needed a  function that returned a results class instead of just having the fitted attributes as part of the model class  however  ld have a class with only a fit function and nothing   else  which didnt seem right  but  it mig,1
18873,i believe all the values are given names with the k prefix  for example ,1
18868,yeah i would return a results class from fit the model should at least have a fit and a predict method,0
18874,if we need this  then i think its a sign that we still need to override ,1
12392,if the pull request  for  gets given the go ahead  id be happy to convert this to be a new descriptorstyle gsobject  it looks very good  and great to have the new improved factors for hlr and   fwhm,1
18878,yes  a small point    mostly concerned with having an approachable api,1
12392,as has happened before  i have to confess to not feeling very qualified to comment on this tree stuff  having not coded up anything similar in the past myself,1
18879,i think this part of fix should be merged  this is no need to reinit bundle again  we just need to use the existing one,1
12392,great that you harmonized these  params to the pythonlayer style,0
18880,i think we still need this for some use cases i know i had some  or should it be an argument to   ,1
18880,oh sorry  i see that its moved above ,0
17992,do we use the start year of the project or the file   the file was created in   not sure where the  came from,1
17992,this line should probably be moved up by the other attribute definitions for ,1
17992,in this method you are inconsistent about where you are putting spaces after  and   i think we want something like    i know the code style things probaby seem nitpicky  but they make the code much easier to rea,1
18883,i really like how you have refactored this method ,0
18883,i have not used js exceptions before  but it probably makes sense to start doing so  does js have a notion of exception types we should could use ,1
18860,ahh the objc naming conventions,0
18884,in my installation  i had to change this to  instead of  this was for paginating  asis it kept generating the  folder in the root directory instead of in   as  just returned  ,1
18885,i see you have made this a class but in the main html template  it is still the toolbar id  is this right ,1
12392,is this replicating code in    if so  can we do without the former now ,1
18885,this type of if statement only needs to be on the base classes  i would just put the code in this block at the top level and get rid of the test  see  and  for an example  i know this is very weird,1
16953,youre right  ill change it    fyi i just made an unstable  in progress commit to the bic branch  i  refactored  rewrote  and added a higher level function to  submit with an upper and lower bound of k    it is rough  but i think this,0
12392,ah  i see  later you also build a lookup table for the x values  hence it becomes analytic in the sbprofile sense,0
18878,those things are moved over    resolved,0
12392,good point  this function isnt that much of a tall pole using the lookup table is the more common code path  but thats a good change to make nonetheless  ill do that,0
12392,this is equivalent to the chord stuff when obscuration  we still need chord and all the rest for when obscuration  this basically skips a bunch of multiplications by  and such so its faster if ,1
12392,its the same code as for  i didnt repeat the derivation here  since its the same thing  but your probably right that its better to include it here as well,1
12392,it is square  seems like the better thing to do  since this isnt a radial profile  so the square region is i think the more relevant thing to do  but youre right that the debugging statement which i   probably just copied from another profiles corresp,1
18889,this is exactly the same way that it worked in the old video grabber  but sure a comment never hurts,0
18889, is the user facing api while is really an internal method  so perhaps i should bring it into the m file,1
18890,i think yw should be in group optional  its not required,1
18894,note  this may be why you need to rebase  as we are deprecating the usage of nxutils,1
18894,ok  can you or someone give me a hint as to how to rebase properly   the pull request was branched off of the tag v,1
18895,on my box  i already had git in the path for my user  might have been set up by either chocolatey or msysgit im pretty sure this should be kosher,1
12392,this  suggests that a valid keyword parameter is   yet this is not listed as a  in the documentation  is this a case of outofdate dox ,1
18878,i think its cleaner now    resolved,0
18878,i think i was just being kneejerky  i cleaned it up a bit and moved it to session,1
18878,agreed  not sure where to hold onto it  so    resolved,0
18878,i think so  yeah  removed    resolved,0
12392,i know that at some point we had discussed making n and ud more descriptive  like and  was that only for the python  ,1
18803,yea  i completely agree   ,0
18888,the cast was already in the code  but in fact it is not necessary because xy is passed to the path initializer  which performs the cast  i can take it out,1
18860,been writing a lot of iphone code lately does it show  p,1
18860,huh was wondering about that figured it was legacy code of some type    i can imagine bad things happening with this setting say i wrote a quick plugin to double ender pearl damage  or make each use summon a dragon  or whatever shouldnt there be a c,1
18860,there should  but none of us have access to it therefore  we are stuck until a we do get the source or b a new border module is integrated into guest part b is my personal favourite  as it is a form   of administration,1
18890,as a rule  after weve released galsim in some official way then i would say to keep such things for backwards compatibility  but given that were still developing it  it makes sense to me to say that we   want everyone including developers and eventual us,1
18898,patch looks good curious where did this routine come from ,0
18899,it might be a good idea to also unregister the signal handler just before is called later in,1
18900,this will have a global effect on the tests and will need to be undone at the end of execution perhaps     ,1
18900,i think it would be better to rename this file to something like     additionally  it might be worth mentioning inside the file that this is only used in the  tests,1
18900,this line is fine  but i dont believe the  is necessary normally       would suffice,0
17992,at first i wanted to do as key  mode as value but it is not possible   if we want someday  multiple for one mode who knows    the only way i saw was list of    ,1
18860,i understand why youre using the class in fact  i switched to use it as well i switched for because it seemed a better fit  thats all,0
18860,theres a good reason for this if youll look at the zone class  youll see ive already rewritten it to handle coordinates in the order they were selected rather than highestfirst this doesnt break   backwardscompatibility at all  btw sorted coord,0
18860,all i did was move it down a bit since the code now handles null arrival points by placing you within the target port at a position calculated to correspond to your current position within the sending   port  the previous error message that was in the if b,1
17992,im thinking of this branch to change the highlight     for raw cell that dont need cell magics prefixes     you could match on a git diff patern  or else maybe even  that should be handeled correctly by normal modes     tex for example ,1
17992,it is usefull for raw cell  where you can start on   end  im not sure   ,1
18904,i see your point and tend to agree names are but sound and smoke ill change it ,0
18908,fabpot so the message keys are fine  the way vicb described it was exactly the idea,1
18908,fabpot any preference in this  the patch works fine without the   but i can add and implement  too,1
18911,i was thinking perhaps we need a grunt task for this,1
18912,might wanna add ,1
18903,my bad i did remove it from our local installation  by for some reason failed to commit it,0
18907,this pr is simply moving   existing   code about for now  for simplicity in this pr  its just about making the testing process reusable in rd party twig extensions  optimizations should go in a   separate pr,1
18899,this is a good pt but wont be necessary after i make the changes above,0
18918,i tend to use  for stuff like this will take any symbol with a  at the end and call that method on it and use the symbol for pretty error messages so good things like     etc are all possible,1
12392,yes  good catch  ill add that documentation,0
12392,yes  i added it here too now,0
12392,sorry  i started this file by copying the airy version and forgot to edit this description,0
18883,yes no notreally  i found this  but you basically cant catch only some type or exception  or you need to use a switch case each time and reraise them  in the other hand  you can throw any,0
12392,yes  the python layer has these names for  but we never changed the corresponding stuff in c    and i dont see a compelling reason to,0
12392,fine  i just couldnt remember what we decided  ,0
18885,yes  need the  to pass it as the selector for the constructor   class is added by js  changing id to for consistency    ,0
18885,hu ok  hum not sure i understand   just the if statement  or the methods called inside     because  might not exist exist on other subclasses,0
16806,you should use otherwise some time will be spent centering the data which is not necessary here,1
16806,besides the memory jump difference iterate on active features or reduced set should do the same amount of computation and it should at least for small data be almost equivalent right ,1
18919,lines should be wrapped to  cols please,1
18919,please do not use global variables  i dont like this solution at all,1
18919,again  no globals  dont care whatever else you do  please no globals,1
18921,the pool is only used  if a is present could you move the call to   i will merge your pull requests as soon as possible  thanks again for your contributions ,1
18924,tried changing method signature to  but got strict notice declaration of should be compatible with that of ,1
18875,you can pass a tag name into  which then behaves essentially like   but during parsing so its affected as well,1
18929,can you put a comment for the different arguments that take a magic number boolean value  eg      ,1
18929,oh  nice  you can have a timeout on a test  did not know that ,0
18929,is this method really useful ,1
18895,the problem is that mstest would not copy  into the  directory  so when tests that used would fail because the dll is not in the path    heres some documentation i found on the matter,1
18912,youre grabbing same element  times one for isset and the second for  you could try to simplify your logic by moving the outside of if scope and doing the isset out too that would also allow you to inline the control structu,1
18912,you can inline this semantical error it wont exceed  chars,1
18930,i think  would be a better than   but i wonder if we should simply throw an ,1
18930,this will throw an exception for the following    i think that  should behave like  in unix system,1
18931,i think you dont need t  type wild copy paste  ,1
18897,yes  i like your suggestions  please use these messages in all drivers  thanks ,0
18930,the reason why i used is to be consistent an is also thrown if for some reason a file could not be created line ,1
18895,well have to keep this in mind  we have not built a release that used a native dll up until now,1
18895,although  all the configurations are set to build x  i might be wrong,0
18933,are these changes part of dynamic configurations  if not  i can merge them separately i assume theyre for some idegenerated files,1
18930,the change to add the  was added after the  release  so we can fix it now without breaking anyone,1
18914,how would this work with serialized cached instances ,1
18934,no real reason im just trying to expand these shorthand rules into their longhand counterparts so i can detect similarities easier    for example,1
18914,i also have same question as hosiplan ,1
18895,keep me updated should you encounter any issue  please,1
18935,i agree plus this is hard to understand  to my opinion i mean  the multiple drivers thing,1
18931,if it works  its better to use though  it may not compile with scala  you need to test it  if the name constant is not available in scala   keep your code  but add a note so that we remember   to get back to this,1
18895,this will work if you stick on only delivering an x version of    well  looks like kgybels is already bumping up against that limitation on his repo so i guess well be changing over to amd,1
13932,sure we can do that and woud end up with  classes subclassing from one and it would be easy to do obviously  but i wanted to keep it to gather for now until this is the only concern  everything else is addressed and pushed and rebased with master so some,0
18931,ok  this also explains my above comment  ,0
18939,it would be nice if one could change rc params even after the initial import  but im not even sure any of the other backends support this,1
18926,how about the oid of the git object to remove notes from     deal however  please use the singular form only one note per git object per namespace is allowed,1
18940,do we want to put in a safeguard here from getting stuck in an infinite loop  is that a likely occurrence ,1
13932,given these else conditions are identical  i think you can significantly reduce the complexity by using,1
18940,a comment here would be nice i think this is using a bisection method to find an optimum solution  but it would be nice if i had some confidence that that was the case  ,1
13932,ditto  and the next one,1
18914,i agree with you guys    for sure this is not the best approach  but the current events system cant handle this without create a event manager per entity class  and we dont have a di to store shared instances    if you have a better solution are welcome ,0
18942,same as my above coment here,1
18942,this is quite the smell id like someone with a bit more knowledge on to weigh in here,1
18890,quite right   error fixed and pushed,0
18942,for cucumber tests  we want to test the happypath of our code these tests are better left to testing using rspec you should remove all the cucumber tests that look for errors and use rspec to test   those cases,1
18943,i need another pair of eyes on this when running threaded  the packobjects code segfaults quite regularly inside  when calling   more exact when trying to free  in  ,1
18874,but couldnt we just insert it in the namespace environment ,1
18942,if we are going to use a block and split it onto multiple lines  we use the  style    ,1
18896,this problem appears to be restricted to webkit  and may be a bug the spec says that rem is equal to the computed value of  on the root element  except for  on the root itself in which,1
18931,ooops sorry  my mistake,0
18896,just to clarify  this bug has to do with  computed  values in webkit the values output by sass were always correct and seem to be tospec  which is why tests didnt pick them up what happens is   that if ,0
18931,yes  good idea i didnt think to that,0
18946,no need to confirm callback existence as you ensure that on l,1
18946,no need for this check  it will always be true,1
18947,i hope the intent here is clear i think this is a kinda neat solution to the i need to update this json value problem    the easiest way i found was to say     since the incoming,1
18948,woops  forgot to send movements to other players,0
8111,see  i told you now  typos any other comment about this pull request ,0
32070,no worries zacc  reflecting back what i primarily trying to get at is that method is returning a  i felt that a didnt convey that an instantiated is what is being returned ,0
32074,i know it was there already but while youre at it,0
32074,ok i guess ill just do it after merging  rest is good thanks ,0
32075,uh rereading the code now  i think i understand it better ignore my comments it changes from a basestring to a list ,0
32079,lloyd   i  have grammar problems  ill update the comment,0
32083,cool ill change that up,0
32088,could you  please  replace tabs with  spaces here and everywhere else where they might be  id suggest adjusting your editors settings to use  spaces for indenting ruby files,1
32093,thanks  you are right,0
32094,lloyd   i  have grammar problems  ill update the comment,0
32102,i like the name change  is more granular and clear to me,0
32108,did you mean to leave this in  also   is useful here,1
32131,we still need to figure out how to avoid taking a strong opinion on what the user needs,1
32135,ive been reluctant to add apispecific tokens to scribe  this is falls out of the scope of the library,1
32136,looks like my less compiler does things a little bit different p,1
32138,cant we use the  protocol here to get these values  or maybe something in the  module,1
32137,sure  ill fix it and send another pull request im not up to snuff on older versions of python i didnt know  lacked support for named exceptions ,0
32139,please adjust coding style so it fits see the if just below  also i think using might make more sense,1
32142,we can avoid if we update the configure script to only sudo the command that installs global npm modules,1
32141,the  state is interesting when i was originally thinking about this problem  i was imagining more states  for example a  could put you in a  state  but then on the next character you would exit that   into one of three states ,1
32141,instead of exiting with a goto  i would be tempted to add a  state and have terminal cases such as this just go into that state and then let the loop exit naturally,1
32141,i was thinking of this too  but theres also the issue of operator chaining  im using the state machine to detect operators and dispatch the parsing operations  and  to parse the argument to the caret   it seems l,1
32141,yeah  that seems cleaner  made me feel a little dirty,0
32149,thanks  ill add the check,0
32149,you use here  however  if youll make changes inside as ive shown above this test will be redundant  ,1
32149,i agree i basically went off the original jira but i am more than happy to change this to something less obtrusive,0
32165,ahh good point  i would guess that a grep like that would be unreliable  i guess theres not much to be done here,0
